14:54:33:480 [WARN]	proxy setting delay exceeds threshold: 2.518031 secs
14:54:38:081 [WARN]	Request Failed. ErrorCode: 112007 errorMessage: Platform Status, Send Request Failed. WinHTTP Name Not Resolved. last error code = 12007 
14:54:40:200 [WARN]	Request Failed. ErrorCode: 29 errorMessage: Timeout, Send Request Failed t=81114651
14:54:43:481 [WARN]	proxy setting delay exceeds threshold: 0.834942 secs
14:54:43:735 [WARN]	Request Failed. ErrorCode: 112007 errorMessage: Platform Status, Send Request Failed. WinHTTP Name Not Resolved. last error code = 12007 
14:55:17:079 [WARN]	proxy setting delay exceeds threshold: 0.562344 secs
19:55:56:631 [WARN]	proxy setting delay exceeds threshold: 2.479691 secs
19:56:03:416 [WARN]	proxy setting delay exceeds threshold: 4.099030 secs
19:56:03:449 [WARN]	Request Failed. ErrorCode: 112007 errorMessage: Platform Status, Send Request Failed. WinHTTP Name Not Resolved. last error code = 12007 
19:56:05:375 [WARN]	Request Failed. ErrorCode: 112007 errorMessage: Platform Status, Send Request Failed. WinHTTP Name Not Resolved. last error code = 12007 
19:56:27:611 [WARN]	proxy setting delay exceeds threshold: 0.536156 secs
20:01:48:766 [WARN]	Request Failed. ErrorCode: 32 errorMessage: Network Error, Send Request Failed. WinHTTP Connection Error. last error code = 12030 
20:01:49:964 [WARN]	proxy setting delay exceeds threshold: 0.511336 secs
